Age,CityPopulation,CountryCitizen,CountryLive,EmploymentField,EmploymentStatus,Gender,HasDebt,Income,IsEthnicMinority,LanguageAtHome,MaritalStatus,SchoolDegree,SchoolMajor,IsSoftwareDev
31,"less than 100,000",France,France,NA,Not working but looking for work,male,1,NA,1,French,NA,associate's degree,Economics,0
26,"less than 100,000",Vietnam,United States of America,NA,Employed for wages,male,0,10000,0,Vietnamese,NA,bachelor's degree,Business Administration,0
25,NA,Poland,Poland,NA,Not working and not looking for work,male,0,NA,0,Polish,NA,"some college credit, no degree",NA,0
40,"less than 100,000",United States of America,United States of America,NA,A stay-at-home parent or homemaker,female,1,NA,0,English,"single, never married","some college credit, no degree",NA,0
22,"between 100,000 and 1 million",India,India,NA,NA,male,0,NA,0,Hindi,NA,some high school,NA,0
16,more than 1 million,Australia,Australia,NA,NA,male,0,NA,1,English,NA,some high school,NA,0
17,more than 1 million,Pakistan,Pakistan,NA,Not working and not looking for work,male,0,NA,0,Urdu,NA,high school diploma or equivalent (GED),NA,0
65,more than 1 million,Australia,Australia,NA,Retired,male,1,NA,0,English,NA,"some college credit, no degree",NA,0
29,more than 1 million,Canada,Canada,construction and extraction,Employed for wages,male,0,25000,0,English,NA,"some college credit, no degree",NA,0
46,"less than 100,000",United Kingdom,Channel Islands,NA,A stay-at-home parent or homemaker,male,0,NA,0,English,NA,"some college credit, no degree",NA,0
29,"between 100,000 and 1 million",Venezuela,Venezuela,NA,Not working but looking for work,male,1,NA,0,Spanish,NA,high school diploma or equivalent (GED),NA,0
28,"between 100,000 and 1 million",Germany,France,NA,Not working but looking for work,male,0,NA,0,German,NA,bachelor's degree,Journalism,0
54,"between 100,000 and 1 million","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",NA,Not working and not looking for work,female,1,NA,0,English,NA,bachelor's degree,English,0
54,"between 100,000 and 1 million",Sudan,Saudi Arabia,office and administrative support,Employed for wages,male,1,12000,0,Arabic,married or domestic partnership,bachelor's degree,Statistics,0
31,"less than 100,000",Belgium,Belgium,NA,Not working but looking for work,female,0,NA,0,Dutch,NA,"some college credit, no degree",NA,0
27,"less than 100,000",Croatia,Croatia,food and beverage,Employed for wages,male,0,9000,0,Serbo-Croatian,NA,master's degree (non-professional),Agriculture,0
18,"less than 100,000",United Kingdom,United Kingdom,NA,NA,male,0,NA,0,English,NA,some high school,NA,0
26,"less than 100,000",Ghana,Hungary,NA,Not working but looking for work,male,0,NA,0,English,NA,"some college credit, no degree",NA,0
27,more than 1 million,Hong Kong,China,sales,Employed for wages,male,0,NA,0,Spanish,married or domestic partnership,"trade, technical, or vocational training",NA,0
31,more than 1 million,NA,NA,NA,NA,female,0,NA,NA,NA,NA,bachelor's degree,Graphic Design,0
45,more than 1 million,United States of America,United States of America,NA,Self-employed freelancer,female,0,NA,0,English,NA,bachelor's degree,Medicine,0
41,"between 100,000 and 1 million",United States of America,United States of America,food and beverage,Employed for wages,male,1,69000,0,English,married or domestic partnership,bachelor's degree,Studio Arts,0
NA,"less than 100,000",United States of America,United States of America,education,Employed for wages,female,1,NA,0,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Information Systems,0
26,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,1,49000,0,English,NA,"some college credit, no degree",NA,0
26,more than 1 million,India,India,software development and IT,Self-employed business owner,male,1,18000,0,Bengali,NA,bachelor's degree,Civil Engineering,0
32,"between 100,000 and 1 million",United States of America,United States of America,NA,A stay-at-home parent or homemaker,female,1,NA,1,English,married or domestic partnership,bachelor's degree,Psychology,0
40,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,1,24000,0,English,married or domestic partnership,bachelor's degree,Graphic Design,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
26,"between 100,000 and 1 million","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",NA,Employed for wages,male,1,10000,0,Dutch,NA,bachelor's degree,Sports Management,0
18,"between 100,000 and 1 million",Philippines,Philippines,NA,Not working and not looking for work,male,0,NA,0,English,"single, never married",high school diploma or equivalent (GED),NA,0
31,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,female,0,NA,0,English,"single, never married",bachelor's degree,Liberal Arts,0
26,"between 100,000 and 1 million",Canada,Canada,construction and extraction,Employed for wages,male,0,40000,0,English,NA,"trade, technical, or vocational training",NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
32,"less than 100,000",Serbia,Serbia,NA,Not working but looking for work,female,0,NA,0,Serbo-Croatian,NA,"some college credit, no degree",NA,0
23,more than 1 million,India,India,NA,Not working but looking for work,male,0,NA,1,Urdu,NA,bachelor's degree,Electrical Engineering,0
21,"less than 100,000",India,India,NA,Not working but looking for work,male,0,NA,0,Hindi,NA,bachelor's degree,Computer Science,0
25,more than 1 million,India,Turkey,NA,Not working but looking for work,female,1,NA,0,English,NA,bachelor's degree,Mechanical Engineering,0
26,more than 1 million,India,India,NA,Not working but looking for work,male,0,NA,1,Telugu,NA,"professional degree (MBA, MD, JD, etc.)",Computer Science,0
40,"between 100,000 and 1 million",United States of America,United States of America,sales,Employed for wages,male,1,70000,1,English,married or domestic partnership,associate's degree,Computer Graphics,0
29,more than 1 million,United States of America,United States of America,NA,Employed for wages,male,1,54000,0,English,NA,"some college credit, no degree",NA,0
22,"less than 100,000",India,"Netherlands (Holland, Europe)",NA,NA,male,1,NA,0,English,NA,bachelor's degree,Aviation,0
29,more than 1 million,Ukraine,Ukraine,NA,Not working but looking for work,female,0,NA,0,Ukrainian,married or domestic partnership,master's degree (non-professional),Information Technology,0
24,"between 100,000 and 1 million",United States of America,United States of America,"arts, entertainment, sports, or media",Employed for wages,male,1,47000,0,English,NA,bachelor's degree,Graphic Design,0
40,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Employed for wages,female,1,66000,1,English,"single, never married",bachelor's degree,Political Science,0
28,"between 100,000 and 1 million",India,United States of America,software development and IT,Employed for wages,female,0,95000,0,Hindi,married or domestic partnership,master's degree (non-professional),Electrical Engineering,0
31,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,female,1,NA,1,English,NA,bachelor's degree,Culinary Arts,0
30,"between 100,000 and 1 million",United States of America,United States of America,finance,Employed for wages,female,1,14500,1,Spanish,"single, never married",bachelor's degree,Communications,0
50,more than 1 million,United States of America,United States of America,NA,A stay-at-home parent or homemaker,female,1,NA,0,English,divorced,bachelor's degree,Mechanical Engineering,0
38,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,1,64000,1,English,married or domestic partnership,associate's degree,Information Technology,0
33,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,male,1,32000,0,English,married or domestic partnership,associate's degree,Computer Networking,0
49,"less than 100,000",United States of America,United States of America,NA,NA,female,1,NA,1,English,married or domestic partnership,"some college credit, no degree",NA,0
35,"less than 100,000",United States of America,United States of America,office and administrative support,Employed for wages,male,1,36000,0,English,"single, never married","some college credit, no degree",NA,0
30,more than 1 million,United States of America,United States of America,software development and IT,Employed for wages,male,0,NA,0,English,NA,bachelor's degree,Liberal Arts,0
22,more than 1 million,Russia,Russia,architecture or physical engineering,Employed for wages,male,0,6000,0,Russian,NA,master's degree (non-professional),Industrial Engineering,0
43,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,male,1,NA,1,NA,NA,"some college credit, no degree",NA,0
27,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,1,NA,1,English,NA,"some college credit, no degree",NA,0
38,"less than 100,000",Fiji,Fiji,NA,Employed for wages,male,0,50000,1,English,married or domestic partnership,bachelor's degree,Computer Science,0
37,"less than 100,000",Portugal,Portugal,NA,Employed for wages,female,NA,NA,0,Portuguese,married or domestic partnership,master's degree (non-professional),Engineering,0
41,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,female,1,NA,0,English,married or domestic partnership,bachelor's degree,Sociology,0
20,more than 1 million,NA,NA,NA,NA,male,0,NA,0,NA,NA,high school diploma or equivalent (GED),NA,0
18,"between 100,000 and 1 million",Canada,Canada,NA,Not working but looking for work,male,0,NA,0,Korean,NA,high school diploma or equivalent (GED),NA,0
33,more than 1 million,Greece,Greece,NA,Not working but looking for work,male,0,NA,0,Greek,NA,master's degree (non-professional),Computer Science,0
32,"between 100,000 and 1 million",India,India,software development and IT,Employed for wages,male,1,8000,0,Hindi,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Information Technology,0
34,more than 1 million,United States of America,United States of America,NA,NA,male,1,NA,0,English,NA,bachelor's degree,Materials Engineering,0
32,"between 100,000 and 1 million",Canada,Canada,"arts, entertainment, sports, or media",Employed for wages,male,1,15000,0,English,NA,"some college credit, no degree",NA,0
28,more than 1 million,United States of America,United States of America,office and administrative support,Employed for wages,female,1,56000,1,English,NA,bachelor's degree,Japanese Language and Literature,0
26,"between 100,000 and 1 million",United States of America,United States of America,office and administrative support,Employed for wages,male,1,40000,1,English,NA,bachelor's degree,English,0
34,"between 100,000 and 1 million",United States of America,United States of America,NA,A stay-at-home parent or homemaker,female,1,NA,1,English,married or domestic partnership,bachelor's degree,Information Systems,0
37,more than 1 million,United States of America,United States of America,health care,Employed for wages,female,1,20000,1,English,married or domestic partnership,bachelor's degree,Business Administration and Management,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
31,"between 100,000 and 1 million",United States of America,United States of America,sales,Employed for wages,male,1,50000,0,English,NA,high school diploma or equivalent (GED),NA,0
33,"less than 100,000",United States of America,United States of America,NA,Employed for wages,female,1,NA,0,English,married or domestic partnership,"some college credit, no degree",NA,0
30,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,1,44000,0,English,married or domestic partnership,bachelor's degree,Computer Science,0
23,more than 1 million,NA,NA,NA,NA,female,0,NA,0,English,NA,bachelor's degree,Accounting,0
27,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,1,57000,0,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Accounting,0
24,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,1,NA,1,English,NA,bachelor's degree,Asian Studies,0
28,"between 100,000 and 1 million",India,United States of America,NA,Employed for wages,female,0,70000,1,Malayalam,married or domestic partnership,bachelor's degree,Computer Science,0
26,"less than 100,000",India,United States of America,NA,Not working but looking for work,female,0,NA,0,Hindi,NA,"professional degree (MBA, MD, JD, etc.)",Finance,0
28,more than 1 million,India,India,software development and IT,Employed for wages,male,1,6000,0,English,NA,"professional degree (MBA, MD, JD, etc.)",Desktop Publishing and Digital Imaging Design,0
21,"between 100,000 and 1 million",United States of America,United States of America,NA,Military,male,1,NA,1,English,NA,high school diploma or equivalent (GED),NA,0
26,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,1,NA,1,English,NA,high school diploma or equivalent (GED),NA,0
46,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,1,36000,0,English,married or domestic partnership,master's degree (non-professional),Anthropology,0
50,"between 100,000 and 1 million",Algeria,Canada,NA,Not working but looking for work,male,0,NA,0,Arabic,married or domestic partnership,bachelor's degree,Journalism,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
22,"between 100,000 and 1 million",Ukraine,Ukraine,NA,Not working but looking for work,male,1,NA,0,Russian,NA,associate's degree,Linguistics,0
24,"less than 100,000",India,India,NA,Not working but looking for work,male,0,NA,1,English,NA,bachelor's degree,Electrical and Electronics Engineering,0
50,more than 1 million,Canada,Canada,NA,Self-employed business owner,male,1,128000,0,English,married or domestic partnership,master's degree (non-professional),Computer Science,0
30,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,female,0,12000,0,English,NA,master's degree (non-professional),Linguistics,0
23,NA,Norway,Norway,office and administrative support,Employed for wages,female,1,NA,0,Norwegian,NA,bachelor's degree,Political Science,0
21,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,1,22000,1,English,"single, never married",associate's degree,Computer and Information Systems Security,0
38,more than 1 million,Indonesia,Indonesia,NA,Employed for wages,male,1,15000,0,Indonesian,married or domestic partnership,bachelor's degree,Advertising and Marketing,0
35,more than 1 million,France,Canada,NA,Not working but looking for work,male,0,NA,0,French,NA,"professional degree (MBA, MD, JD, etc.)",Accounting,0
21,"between 100,000 and 1 million",Canada,Canada,construction and extraction,Employed for wages,male,0,6000,0,English,NA,associate's degree,Engineering,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
57,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,1,NA,1,Indonesian,NA,"some college credit, no degree",NA,0
29,"between 100,000 and 1 million",United States of America,United States of America,office and administrative support,Employed for wages,female,1,35000,1,English,NA,master's degree (non-professional),Zoology,0
39,more than 1 million,United States of America,United States of America,NA,NA,male,0,NA,1,English,NA,"some college credit, no degree",NA,0
50,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,female,1,NA,0,English,NA,bachelor's degree,Liberal Arts,0
25,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0,NA,0,English,NA,associate's degree,Mechanical Engineering,0
36,"between 100,000 and 1 million",United States of America,United States of America,office and administrative support,Employed for wages,male,1,50000,0,English,married or domestic partnership,bachelor's degree,Business Administration,0
62,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,female,0,NA,0,English,married or domestic partnership,Ph.D.,Physics,0
29,more than 1 million,Australia,Australia,NA,Employed for wages,male,0,NA,0,English,NA,high school diploma or equivalent (GED),NA,0
40,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,0,25000,1,English,"single, never married",high school diploma or equivalent (GED),NA,0
34,"less than 100,000",United States of America,United States of America,office and administrative support,Employed for wages,male,1,16000,0,English,NA,associate's degree,Information Technology,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
49,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,male,1,120000,0,English,married or domestic partnership,master's degree (non-professional),Business Administration,0
26,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,1,30000,0,English,NA,bachelor's degree,Cellular Biology,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
20,"between 100,000 and 1 million",Canada,Canada,NA,Not working but looking for work,male,1,NA,1,Marathi,NA,high school diploma or equivalent (GED),NA,0
18,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,0,NA,0,English,NA,"some college credit, no degree",NA,0
26,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,genderqueer,1,20000,1,English,married or domestic partnership,bachelor's degree,Computer Science,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
26,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,0,20068,1,English,NA,some high school,NA,0
19,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,0,NA,1,Spanish,NA,high school diploma or equivalent (GED),NA,0
22,more than 1 million,Nigeria,Nigeria,NA,Not working but looking for work,female,0,NA,0,English,NA,bachelor's degree,Engineering,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30,more than 1 million,United States of America,United States of America,NA,NA,female,1,NA,0,English,NA,bachelor's degree,Liberal Arts,0
43,more than 1 million,United States of America,United States of America,NA,Employed for wages,male,1,23000,1,Spanish,separated,"some college credit, no degree",NA,0
21,"between 100,000 and 1 million",Kyrgyzstan,Kyrgyzstan,NA,Military,male,1,NA,1,Russian,"single, never married",bachelor's degree,Computer Science,0
28,more than 1 million,Malaysia,Malaysia,software development and IT,Self-employed freelancer,male,0,7000,1,English,"single, never married",bachelor's degree,Robotics and Automation Engineering,0
20,more than 1 million,Egypt,Egypt,NA,Unable to work,male,0,NA,1,Arabic,"single, never married",high school diploma or equivalent (GED),NA,0
13,"less than 100,000","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",NA,Not working and not looking for work,male,0,NA,0,Dutch,NA,some high school,NA,0
32,"between 100,000 and 1 million",Nigeria,Nigeria,NA,Military,male,1,NA,0,Igbo,married or domestic partnership,associate's degree,Electrical and Electronics Engineering,0
20,"between 100,000 and 1 million",India,India,NA,Not working but looking for work,male,0,NA,0,Hindi,NA,"some college credit, no degree",NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30,"between 100,000 and 1 million",United States of America,United States of America,sales,Employed for wages,male,1,8000,0,English,NA,"some college credit, no degree",NA,0
NA,more than 1 million,Nigeria,Nigeria,NA,Not working but looking for work,male,0,NA,1,English,NA,bachelor's degree,Petroleum Engineering,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
42,"between 100,000 and 1 million",United States of America,United States of America,sales,Employed for wages,male,0,62000,1,Romanian,married or domestic partnership,"some college credit, no degree",NA,0
37,more than 1 million,United States of America,United States of America,health care,Self-employed business owner,genderqueer,1,150000,0,Yiddish,married or domestic partnership,master's degree (non-professional),Research and Experimental Psychology,0
25,"between 100,000 and 1 million",United States of America,United States of America,construction and extraction,Employed for wages,male,1,45000,0,English,NA,"some college credit, no degree",NA,0
26,"less than 100,000",Romania,United Kingdom,NA,Employed for wages,male,0,29000,1,Romanian,NA,bachelor's degree,Electrical Engineering Technician,0
21,more than 1 million,United States of America,United States of America,"arts, entertainment, sports, or media",Self-employed freelancer,male,1,NA,0,English,NA,"some college credit, no degree",NA,0
42,"less than 100,000",United Kingdom,United Kingdom,law enforcement and fire and rescue,Employed for wages,female,0,NA,0,English,married or domestic partnership,bachelor's degree,Public Health,0
28,"less than 100,000",United States of America,United States of America,"farming, fishing, and forestry",Self-employed business owner,female,0,NA,0,English,NA,high school diploma or equivalent (GED),NA,0
21,"less than 100,000",United States of America,United States of America,NA,Self-employed freelancer,female,1,NA,0,English,NA,bachelor's degree,Graphic Design,0
23,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,0,NA,0,English,NA,bachelor's degree,Business Administration,0
36,more than 1 million,United States of America,United States of America,software development and IT,Self-employed freelancer,male,1,NA,1,English,married or domestic partnership,bachelor's degree,Economics,0
30,more than 1 million,NA,United States of America,software development and IT,Self-employed business owner,male,1,NA,1,English,NA,bachelor's degree,Economics,0
16,"less than 100,000",United States of America,United States of America,software development and IT,Self-employed freelancer,male,0,NA,0,English,"single, never married",high school diploma or equivalent (GED),NA,0
16,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Self-employed freelancer,male,0,NA,0,English,NA,some high school,NA,0
22,"less than 100,000",United States of America,United States of America,education,Employed for wages,male,0,NA,0,English,NA,bachelor's degree,Liberal Arts,0
26,more than 1 million,India,India,construction and extraction,Employed for wages,male,1,NA,0,Hindi,NA,"professional degree (MBA, MD, JD, etc.)",Civil Engineering,0
18,"between 100,000 and 1 million",India,India,software development and IT,Self-employed freelancer,male,0,NA,1,Hindi,NA,bachelor's degree,Computer Science,0
35,more than 1 million,Czech Republic,Czech Republic,sales,Self-employed business owner,male,1,NA,0,Czech,NA,high school diploma or equivalent (GED),NA,0
18,more than 1 million,Ukraine,Ukraine,sales,Self-employed business owner,male,0,NA,0,Russian,NA,NA,NA,0
50,"between 100,000 and 1 million",India,Kuwait,architecture or physical engineering,Employed for wages,male,0,NA,1,Malayalam,married or domestic partnership,bachelor's degree,Architecture,0
16,"between 100,000 and 1 million",South Africa,South Africa,software development and IT,Self-employed freelancer,male,0,NA,0,English,NA,some high school,NA,0
28,"less than 100,000",India,Canada,food and beverage,Employed for wages,male,1,NA,0,Telugu,NA,bachelor's degree,Computer Science,0
23,more than 1 million,Kenya,Kenya,education,Self-employed business owner,male,1,NA,1,Oromo,NA,"some college credit, no degree",NA,0
21,more than 1 million,United States of America,United States of America,education,Employed for wages,female,1,NA,1,English,NA,"some college credit, no degree",NA,0
28,"between 100,000 and 1 million",United States of America,United States of America,software development and IT,Self-employed freelancer,male,1,NA,1,English,NA,associate's degree,Information Technology,0
25,more than 1 million,Indonesia,Indonesia,"arts, entertainment, sports, or media",Self-employed business owner,male,0,NA,0,Malay Bhasa Indonesia,NA,bachelor's degree,Civil Engineering,0
30,"between 100,000 and 1 million",Czech Republic,Czech Republic,"arts, entertainment, sports, or media",Employed for wages,male,0,NA,0,Czech,NA,master's degree (non-professional),Public Relations,0
27,more than 1 million,Poland,Poland,software development and IT,Employed for wages,male,0,NA,0,Polish,NA,master's degree (non-professional),Law,0
40,"less than 100,000",Israel,Colombia,NA,Self-employed business owner,male,0,NA,1,Spanish,NA,master's degree (non-professional),Physics,0
33,"between 100,000 and 1 million",Serbia,Serbia,NA,Self-employed freelancer,male,0,NA,0,Serbo-Croatian,NA,high school diploma or equivalent (GED),NA,0
18,"less than 100,000",Ukraine,Canada,software development and IT,Employed for wages,female,0,NA,0,Russian,NA,high school diploma or equivalent (GED),NA,0
23,"less than 100,000",United States of America,United States of America,software development and IT,Employed for wages,agender,0,NA,0,English,NA,"some college credit, no degree",NA,0
14,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,0,NA,0,English,NA,some high school,NA,0
21,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,male,1,NA,1,English,NA,high school diploma or equivalent (GED),NA,0
51,more than 1 million,United States of America,Greece,software development and IT,Employed for wages,female,1,NA,0,English,NA,"professional degree (MBA, MD, JD, etc.)",Information Systems,0
55,"between 100,000 and 1 million",United States of America,United States of America,sales,Employed for wages,male,1,NA,1,English,NA,master's degree (non-professional),Biology,0
26,more than 1 million,United States of America,United States of America,NA,Self-employed business owner,male,0,NA,0,English,NA,bachelor's degree,Finance,0
35,"less than 100,000",France,France,software development and IT,Employed for wages,male,1,NA,0,French,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Computer Networking,0
20,"between 100,000 and 1 million",Slovakia,Slovakia,software development and IT,Employed for wages,male,0,NA,0,Slovene,NA,high school diploma or equivalent (GED),NA,0
24,"less than 100,000",United States of America,United States of America,software development and IT,Self-employed freelancer,male,1,NA,0,English,NA,associate's degree,English,0
30,"between 100,000 and 1 million",Russia,United States of America,food and beverage,Employed for wages,male,0,NA,0,English,NA,bachelor's degree,Advertising and Marketing,0
21,NA,India,India,software development and IT,Employed for wages,male,0,NA,0,Malayalam,NA,bachelor's degree,Biomedical Engineering,0
21,"between 100,000 and 1 million",Canada,Canada,software development and IT,Employed for wages,female,0,NA,0,English,NA,high school diploma or equivalent (GED),NA,0
20,"between 100,000 and 1 million",India,India,software development and IT,Self-employed freelancer,male,1,NA,1,Marathi,NA,high school diploma or equivalent (GED),NA,0
22,more than 1 million,United States of America,United States of America,food and beverage,Employed for wages,male,0,NA,1,Vietnamese,NA,"some college credit, no degree",NA,0
14,"between 100,000 and 1 million",Mexico,Mexico,software development and IT,Self-employed freelancer,male,0,NA,0,Spanish,NA,no high school (secondary school),NA,0
22,"between 100,000 and 1 million",United States of America,United States of America,"arts, entertainment, sports, or media",Self-employed freelancer,male,1,NA,1,English,NA,high school diploma or equivalent (GED),NA,0
25,more than 1 million,United Kingdom,United Kingdom,NA,Employed for wages,male,0,NA,0,English,NA,bachelor's degree,Geography,0
32,more than 1 million,United States of America,United States of America,"arts, entertainment, sports, or media",Self-employed freelancer,male,0,NA,0,English,NA,associate's degree,Electrical Engineering,0
23,more than 1 million,India,India,finance,Employed for wages,male,0,NA,0,Marathi,NA,bachelor's degree,Information Technology,0
46,"between 100,000 and 1 million",Australia,Australia,education,Employed for wages,male,0,NA,0,English,NA,"trade, technical, or vocational training",NA,0
48,more than 1 million,India,India,software development and IT,Self-employed freelancer,male,0,NA,0,Tamil,married or domestic partnership,bachelor's degree,Computer Programming,0
23,"less than 100,000",United States of America,United States of America,sales,Employed for wages,female,0,NA,0,English,NA,bachelor's degree,Counseling Psychology,0
31,more than 1 million,India,India,software development and IT,Employed for wages,male,1,NA,0,Hindi,"single, never married",bachelor's degree,Electrical Engineering,0
31,more than 1 million,"Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",sales,Employed for wages,male,0,NA,0,German,NA,bachelor's degree,Business Administration,0
32,more than 1 million,Canada,Hungary,software development and IT,Self-employed freelancer,female,1,NA,0,French,NA,bachelor's degree,Mechanical Engineering,0
27,more than 1 million,France,France,education,Self-employed business owner,male,0,NA,0,French,NA,"professional degree (MBA, MD, JD, etc.)",Agriculture,0
26,more than 1 million,"Netherlands (Holland, Europe)",Belgium,software development and IT,Employed for wages,male,0,NA,0,Dutch,"single, never married","some college credit, no degree",NA,0
25,more than 1 million,Singapore,Singapore,software development and IT,Employed for wages,male,0,NA,0,Mandarin Chinese,NA,bachelor's degree,Computer Science,0
